;id;display-name;url;icon
96;ESAJ3800005C5;Comedia Made in Spain_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/54/ESAJ3800005C5_20220323T081448.png
97;ESBA3300025WZ;Los Asesinatos de Midsomer_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/03/67/ESBA3300025WZ_20220323T081632.png
98;ESBA3300039ZX;Tu Cine_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/36/ESBA3300039ZX_20220323T081936.png
99;ESBA3300027H5;Las Reglas Del Juego_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/03/88/ESBA3300027H5_20220323T081625.png
100;ESBA1400001OG;Doctor Who_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/02/42/ESBA1400001OG_20220323T081521.png
101;ESAJ3800008ZD;Pluto TV Mundo Real_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/15/ESAJ3800008ZD_20220323T081807.png
102;ESBA3300036W1;Museum TV FAST_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/04/14/ESBA3300036W1_20220323T081713.png
103;ESBA22000094V;Explore by TVPlayer_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/65/ESBA22000094V_20220323T081540.png
104;ESAJ4500021HQ;Rakuten Stories_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/59/ESAJ4500021HQ_20220323T081833.png
105;ESAJ49000017H;Insight TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/91/ESAJ49000017H_20220323T081619.png
106;ESBA22000102A;Love Nature_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/23/ESBA22000102A_20220323T081638.png
107;ESBA330004121;WildEarth_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/09/12/ESBA330004121_20220323T082129.png
108;ESBA3300024AJ;Bloomberg TV+_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/05/56/ESBA3300024AJ_20220323T081403.png
109;ESBA1400008NE;¡Hola! Play_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/02/48/ESBA1400008NE_20220323T082013.png
110;ESAJ3800007PC;Pluto TV Cocina_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/02/93/ESAJ3800007PC_20220323T081752.png
111;ESBA2200006B4;Tastemade_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/08/57/ESBA2200006B4_20220323T081917.png
112;ESBA3300022SL;Cine Feel Good – Verdi TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/42/ESBA3300022SL_20220323T081429.png
113;ESBA3300021PZ;Cines Verdi TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/65/ESBA3300021PZ_20220323T081435.png
114;ESAJ3800001KT;Pluto TV Cine Estelar_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/02/02/ESAJ3800001KT_20220323T081746.png
115;ESBC40000248;Dark Matter TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/08/41/ESBC40000248_20220323T082046.png
116;ESBC400001QQ;Runtime_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/51/ESBC400001QQ_20220323T082052.png
117;ESBA3300019NX;Butaca TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/83/ESBA3300019NX_20220323T081416.png
118;ESBA2200004G5;MyTime Movie Network_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/02/81/ESBA2200004G5_20220323T081719.png
119;ESBA3300017FA;Familiares - Rakuten TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/02/28/ESBA3300017FA_20220323T081600.png
120;ESBA2200008NQ;Cortos_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/37/ESBA2200008NQ_20220323T081455.png
121;ESAJ4500020V7;Dramas - Rakuten TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/06/62/ESAJ4500020V7_20220323T081528.png
122;ESAJ45000181E;Acción - Rakuten TV_;;https://tvpmlogopeu.samsungcloud.tv/platform/image/sourcelogo/vc/70/01/61/ESAJ45000181E_20220323T081350.png
